id;name;number_of_seats;short_name;color_background;color_text;description
1;bandwidth 24/7;91172;Handmade Granite Gloves Som Implementation;Assistant deposit;envisioneer drive PNG;../fake-data/blob/hipster.txt
2;Congolese Franc;96563;streamline;Chicken;system New York lime;../fake-data/blob/hipster.txt
3;granular Cotton;20658;portal deposit;implement incremental;Forward;../fake-data/blob/hipster.txt
4;Internal impactful copy;89699;hacking Tuna Web;Garden primary;Bedfordshire Licensed Cloned;../fake-data/blob/hipster.txt
5;Auto Loan Account;48564;French Polynesia Configuration IB;compress Frozen Bermudian Dollar (customarily known as Bermuda Dollar);SMTP flexibility Sleek Metal Tuna;../fake-data/blob/hipster.txt
6;Bedfordshire;11995;application;Pizza Games Villages;neural-net;../fake-data/blob/hipster.txt
7;Reverse-engineered Creative;87125;dynamic optical back-end;pixel bypass Zloty;Auto Loan Account;../fake-data/blob/hipster.txt
8;Gloves Refined Metal Chips;47547;bypassing;mint green transmitting;New Zealand maroon hard drive;../fake-data/blob/hipster.txt
9;matrix Lodge;79306;Assistant Assurance Security;indexing Sudanese Pound;National Fresh parallelism;../fake-data/blob/hipster.txt
10;Rubber;40777;FTP;Tasty Plastic Chicken;deposit neutral Pre-emptive;../fake-data/blob/hipster.txt
